	wl	Excit	Excit-Err	set
90	400.0	0.004056663659309158	2.5361500497441838e-05	C3C23
89	402.0	0.0037149818503254394	2.2865492478341906e-05	C3C23
88	404.0	0.0033181509948882423	2.3594525449825914e-05	C3C23
87	406.0	0.0029711386914346443	2.3144348941548013e-05	C3C23
86	408.0	0.0026309887078549976	2.1291171648936984e-05	C3C23
85	410.0	0.0023611165957342175	2.153658166370845e-05	C3C23
84	412.0	0.0021113616012731476	2.0177539517962038e-05	C3C23
83	414.0	0.0018742361981102962	2.1214533731021572e-05	C3C23
82	416.0	0.0016968125842245008	2.0663176492841512e-05	C3C23
81	418.0	0.0015478523931197693	2.0676839664337195e-05	C3C23
80	420.0	0.0014253516792154008	2.0312298906349767e-05	C3C23
79	422.0	0.00135112467428753	2.034643195317309e-05	C3C23
78	424.0	0.00131461760513445	2.116754240927512e-05	C3C23
77	426.0	0.0012862707807270713	2.064295552140411e-05	C3C23
76	428.0	0.0012772616997258355	2.0418316589218874e-05	C3C23
75	430.0	0.0012771957392027156	1.9511591714381384e-05	C3C23
74	432.0	0.0013027835742663986	2.005395668023128e-05	C3C23
73	434.0	0.0013355573949066623	1.898090802108036e-05	C3C23
72	436.0	0.0013642308858459978	1.9236075158940903e-05	C3C23
71	438.0	0.0014152844587108475	1.8849894983528245e-05	C3C23
70	440.0	0.0014707857065204993	1.7618001257373125e-05	C3C23
69	442.0	0.0015278426263261205	1.7156250995869708e-05	C3C23
68	444.0	0.001598831648699094	1.8095502118862553e-05	C3C23
67	446.0	0.0016634256850481795	1.7573777107871528e-05	C3C23
66	448.0	0.0017509126544587982	1.6687923041208156e-05	C3C23
65	450.0	0.0018542354495480954	1.559699989203275e-05	C3C23
64	452.0	0.001911400393086321	1.443844521826642e-05	C3C23
63	454.0	0.0019985492577241255	1.4757477558615433e-05	C3C23
62	456.0	0.0020935843921202277	1.6191672324764124e-05	C3C23
61	458.0	0.002169659326054496	1.437359308836024e-05	C3C23
60	460.0	0.002273146396974166	1.57805834944935e-05	C3C23
59	462.0	0.002355639864978875	1.464433166145083e-05	C3C23
58	464.0	0.0024092852706919634	1.4414546080377795e-05	C3C23
57	466.0	0.0024814944052686454	1.3446769001681841e-05	C3C23
56	468.0	0.002508192388943672	1.3620008533589508e-05	C3C23
55	470.0	0.0025688780589618065	1.3163239748440636e-05	C3C23
54	472.0	0.0026064088962380427	1.4240589433524544e-05	C3C23
53	474.0	0.0027099280112050424	1.6389906984681378e-05	C3C23
52	476.0	0.0028298176395588188	1.6409463298791592e-05	C3C23
51	478.0	0.0029631900267045965	1.7242317296460328e-05	C3C23
211	480.0	0.0025364184056056675	3.0709179952015684e-05	FES750
50	480.0	0.003089566298354818	1.702932386801704e-05	C3C23
210	482.0	0.00270691363911368	2.0956906992132143e-05	FES750
49	482.0	0.0031372325865349675	1.759631318908346e-05	C3C23
48	484.0	0.0032122194973356367	1.772308518295895e-05	C3C23
209	484.0	0.0030923976277588174	2.357332150745959e-05	FES750
208	486.0	0.0031244299981069094	2.143495076611986e-05	FES750
