	wl	Excit	Excit-Err	set
90	400.0	0.011508490290854292	0.00010847356762522833	C3C23
89	402.0	0.010746761637867341	0.00010911155021334684	C3C23
88	404.0	0.00979075282323956	0.00010601872144563571	C3C23
87	406.0	0.00899720505158205	0.00010258321245069556	C3C23
86	408.0	0.00838327418392737	9.651988862368606e-05	C3C23
85	410.0	0.0075380799665379535	8.907844043880972e-05	C3C23
84	412.0	0.006934654763900248	9.136268723683013e-05	C3C23
83	414.0	0.0060999655877632675	9.269654723877466e-05	C3C23
82	416.0	0.0057131610327148695	8.816987553304083e-05	C3C23
81	418.0	0.005151708800693893	8.524851096153946e-05	C3C23
80	420.0	0.004784124281978342	9.008155060715317e-05	C3C23
79	422.0	0.00444221171417684	8.260203908908645e-05	C3C23
78	424.0	0.004296017083569691	8.82094945327674e-05	C3C23
77	426.0	0.004177447403902739	8.445578045540704e-05	C3C23
76	428.0	0.004205561693244576	8.628178323714776e-05	C3C23
75	430.0	0.004163735626162939	8.780640717521391e-05	C3C23
74	432.0	0.004240027450254815	8.551190522962025e-05	C3C23
73	434.0	0.004382804487373708	8.752635823402953e-05	C3C23
72	436.0	0.004510862733625408	7.998087052058158e-05	C3C23
71	438.0	0.004546194931049161	8.287042619843223e-05	C3C23
70	440.0	0.00458673425403793	7.863309010211402e-05	C3C23
69	442.0	0.004694396438338566	7.828270941453533e-05	C3C23
68	444.0	0.004873843486909962	7.599137733400486e-05	C3C23
67	446.0	0.004953116466637045	7.667994262644186e-05	C3C23
66	448.0	0.005020632411360271	7.394405028932505e-05	C3C23
65	450.0	0.0053346213704645795	6.514186692738256e-05	C3C23
64	452.0	0.0055713254160020985	6.3600923100548e-05	C3C23
63	454.0	0.005893701232718708	6.763336705516539e-05	C3C23
62	456.0	0.0062521915221521954	6.679332468193429e-05	C3C23
61	458.0	0.00648793075303666	6.81960381627829e-05	C3C23
60	460.0	0.0069995272626108326	6.538842251953183e-05	C3C23
59	462.0	0.007461438140560294	6.441652413780904e-05	C3C23
58	464.0	0.007759547764482385	6.229741674343074e-05	C3C23
57	466.0	0.007876171193195733	6.217858317825754e-05	C3C23
56	468.0	0.007766318162020425	5.7882691910094e-05	C3C23
55	470.0	0.007816578320596625	5.9987873231037555e-05	C3C23
54	472.0	0.007940221321442105	6.389097825132523e-05	C3C23
53	474.0	0.008218285048036792	6.384392643616695e-05	C3C23
52	476.0	0.008318524570791467	7.008959260734738e-05	C3C23
51	478.0	0.008400344308053457	7.426114073771528e-05	C3C23
211	480.0	0.007687459817760055	0.00017793607393403032	FES750
50	480.0	0.008406166715744599	7.323361331886382e-05	C3C23
210	482.0	0.008033553227843108	0.00013462591567055612	FES750
49	482.0	0.00843561056288486	6.945150793720979e-05	C3C23
48	484.0	0.008873214242368024	6.931724218862521e-05	C3C23
209	484.0	0.00922847027614037	0.00012404339948176522	FES750
208	486.0	0.009272142672092957	0.00010902817357098453	FES750
47	486.0	0.009339147276991325	7.4182944055244e-05	C3C23
207	488.0	0.009850958007414983	0.00010875374900329005	FES750
46	488.0	0.00986259168890134	7.511296196225964e-05	C3C23
206	490.0	0.010725032210347315	0.00011219699459001703	FES750
45	490.0	0.010211193718216263	7.595924219728069e-05	C3C23
205	492.0	0.011102977177539261	0.00011534493471992535	FES750
44	492.0	0.010406633443176492	7.803372929335332e-05	C3C23
204	494.0	0.010984524124558899	0.00011316254808386731	FES750
43	494.0	0.010701219178187525	8.220638046615201e-05	C3C23
203	496.0	0.011284327768953965	0.0001289663949022232	FES750
42	496.0	0.011332300173462703	8.09601393263327e-05	C3C23
41	498.0	0.011837808276200167	9.129463703582777e-05	C3C23
202	498.0	0.011779667617135978	0.0001218859879399374	FES750
40	500.0	0.011944126313613222	9.198136246396687e-05	C3C23
201	500.0	0.012083770767077602	0.00011805746411849026	FES750
39	502.0	0.011638492669937071	8.693768874006652e-05	C3C23
200	502.0	0.011997483529604277	0.00011743283372280189	FES750
38	504.0	0.011321643934051285	9.399822105461196e-05	C3C23
199	504.0	0.011745543925243294	0.00011803498877827916	FES750
37	506.0	0.011480432124848216	8.775347597455377e-05	C3C23
198	506.0	0.012080346994928142	0.0001169194204210734	FES750
197	508.0	0.012066956665288911	0.00012585402901011777	FES750
36	508.0	0.01152729483648932	8.855210909145023e-05	C3C23
35	510.0	0.011714056752298287	8.173335264922587e-05	C3C23
196	510.0	0.011823303093371982	0.00011373243365729234	FES750
195	512.0	0.011391471695749708	0.00011043178387784024	FES750
34	512.0	0.011687497435586154	8.310886033737108e-05	C3C23
194	514.0	0.011311290309633869	0.0001105065229119273	FES750
33	514.0	0.011367737918903184	8.92121061859751e-05	C3C23
193	516.0	0.011448065812646971	0.00011258720328056917	FES750
32	516.0	0.011163406590718407	8.803712037553224e-05	C3C23
192	518.0	0.011545043901531734	0.00011388546731655433	FES750
31	518.0	0.011198611647311734	9.001780142078343e-05	C3C23
30	520.0	0.011231881485854264	8.749353718372038e-05	C3C23
191	520.0	0.011370093670485167	0.00011122262024977945	FES750
190	522.0	0.01094186095619012	0.00012182704529915222	FES750
29	522.0	0.011329240578148983	9.380514984137114e-05	C3C23
189	524.0	0.010983960765420369	0.00011717682330320963	FES750
28	524.0	0.011347265396510627	9.367091880305629e-05	C3C23
27	526.0	0.011196268709554189	9.021743822741884e-05	C3C23
188	526.0	0.011240688781523553	0.00011715366815184943	FES750
187	528.0	0.011500291117321714	0.00010771076014055339	FES750
26	528.0	0.011180571675929847	8.360016476081057e-05	C3C23
25	530.0	0.01117249126207215	9.213240254119792e-05	C3C23
186	530.0	0.011469344969398694	0.00011620870107262778	FES750
185	532.0	0.011351926751154295	0.00011711669691587415	FES750
24	532.0	0.011424046672950414	9.54850968582152e-05	C3C23
184	534.0	0.011427224825036435	0.0001264790979526081	FES750
23	534.0	0.011549192787885756	9.303047608283232e-05	C3C23
22	536.0	0.01157672726897951	9.771381605588399e-05	C3C23
183	536.0	0.011606000106635797	0.00011862031097208467	FES750
182	538.0	0.011834412325499139	0.0001108716296779822	FES750
21	538.0	0.011635077883532253	9.498903065267261e-05	C3C23
181	540.0	0.01187351168359345	0.00012230518939243694	FES750
20	540.0	0.011780334286740657	9.696847837319065e-05	C3C23
180	542.0	0.011751052565643036	0.00011971520218372293	FES750
19	542.0	0.011861562459944184	9.639494151886008e-05	C3C23
18	544.0	0.011893026265526015	9.922048555881404e-05	C3C23
179	544.0	0.011377443143236935	0.00011746114109148059	FES750
17	546.0	0.011909915280754886	0.00010118226731039328	C3C23
178	546.0	0.011486209097369221	0.00011596699568191922	FES750
177	548.0	0.011654522357457946	0.00012085701570283795	FES750
16	548.0	0.011844242597340645	0.00010235966755006952	C3C23
176	550.0	0.011824397867433766	0.00012060013225067924	FES750
15	550.0	0.011820156120993129	0.00011044572098225482	C3C23
14	552.0	0.01177150612450899	0.00010763300179951006	C3C23
175	552.0	0.011664522692720744	0.00010742496237838322	FES750
174	554.0	0.011489079018432234	0.00011724747595997534	FES750
13	554.0	0.01156592648458061	0.00011089939147544616	C3C23
12	556.0	0.01157255827039492	0.00011757665418585693	C3C23
173	556.0	0.01122753364857291	0.00011572499825423708	FES750
172	558.0	0.010949344832318566	0.0001191178278518976	FES750
11	558.0	0.011487181641788934	0.00012088156405949705	C3C23
10	560.0	0.011270311414143945	0.00011120886407025026	C3C23
171	560.0	0.01084259960622074	0.0001221695500178708	FES750
170	562.0	0.01061670235482365	0.0001182294434267022	FES750
9	562.0	0.01109476394583504	0.00012477200928291877	C3C23
169	564.0	0.010438405218201913	0.00011109323177860593	FES750
8	564.0	0.010756914854086884	0.00013334853803356286	C3C23
168	566.0	0.010389002452044474	0.00011663300520662943	FES750
7	566.0	0.010680248491188985	0.00012808508715095367	C3C23
6	568.0	0.010626075669944378	0.00013482643806262578	C3C23
167	568.0	0.01029166462364436	0.0001162429478899478	FES750
166	570.0	0.010278754913980512	0.0001245229567143388	FES750
5	570.0	0.010634430914093811	0.00014587937143504634	C3C23
4	572.0	0.010875412640259353	0.00015099616737882464	C3C23
165	572.0	0.010621371767361642	0.0001284065161423083	FES750
164	574.0	0.011000241000540135	0.00012333844584307659	FES750
3	574.0	0.011382537697863031	0.000146724176374595	C3C23
2	576.0	0.011896465749150962	0.00014594162985857945	C3C23
163	576.0	0.011717116320267978	0.00014013508625409856	FES750
1	578.0	0.01301071547901396	0.00015557106569099162	C3C23
162	578.0	0.012777650173874796	0.00013190334818871885	FES750
161	580.0	0.01396426214827784	0.000140550504483975	FES750
0	580.0	0.014232804287895693	0.00016441917851723906	C3C23
