	wl	Excit	Excit-Err	set
90	400.0	0.025092841466636078	0.00012226014912645653	C3C23
89	402.0	0.024362543244826902	0.00012745840371204608	C3C23
88	404.0	0.023326986691510777	0.00011382051534135747	C3C23
87	406.0	0.02258669624446607	0.00011971538889118895	C3C23
86	408.0	0.02186284769797261	0.00010583285411727197	C3C23
85	410.0	0.021041721728228692	0.00010355279682933158	C3C23
84	412.0	0.02001525671704144	0.00010049388775119682	C3C23
83	414.0	0.019011064575165434	9.882752990309412e-05	C3C23
82	416.0	0.018301317805126702	9.809890428433304e-05	C3C23
81	418.0	0.017571341308381037	9.534009805378534e-05	C3C23
80	420.0	0.01737203981944047	9.330185281108993e-05	C3C23
79	422.0	0.017944845338041856	9.253557195518324e-05	C3C23
78	424.0	0.018775067465961442	9.391623785509294e-05	C3C23
77	426.0	0.019952061488822344	9.40307546741201e-05	C3C23
76	428.0	0.021344888322940115	9.607747131861441e-05	C3C23
75	430.0	0.022460732460971616	9.949773191823799e-05	C3C23
74	432.0	0.02331946404935875	9.989331723644162e-05	C3C23
73	434.0	0.02340596261112851	9.987611442505028e-05	C3C23
72	436.0	0.023067793517466094	9.571279417527194e-05	C3C23
71	438.0	0.022484315225261266	9.507504443475029e-05	C3C23
70	440.0	0.021472482175541648	9.066582802893764e-05	C3C23
69	442.0	0.020648676706792074	9.346362057562554e-05	C3C23
68	444.0	0.020230084866296044	9.146320324544417e-05	C3C23
67	446.0	0.02045044148270441	9.024232999524655e-05	C3C23
66	448.0	0.021690260293520926	8.770307111155032e-05	C3C23
65	450.0	0.023916516229962687	9.39391162507953e-05	C3C23
64	452.0	0.026068577680109586	9.866897069411473e-05	C3C23
63	454.0	0.02932617054506054	0.00010798864277922055	C3C23
62	456.0	0.03249616325189487	0.00012606654215738472	C3C23
61	458.0	0.034183224250824484	0.00012762897571221322	C3C23
60	460.0	0.03549581473112755	0.00013686294588548606	C3C23
59	462.0	0.03498010803301368	0.00013265763929507855	C3C23
58	464.0	0.03324167981677446	0.00012754305471387672	C3C23
57	466.0	0.030678092536305362	0.00011549205192862419	C3C23
56	468.0	0.027934010306944992	0.0001108141708597522	C3C23
55	470.0	0.024910867877431533	9.435070445400446e-05	C3C23
54	472.0	0.0218289105939282	7.998947025810764e-05	C3C23
53	474.0	0.019828611497748554	7.611760889869479e-05	C3C23
52	476.0	0.01859463574598193	8.334621732077386e-05	C3C23
51	478.0	0.018665170124236803	8.103405370712747e-05	C3C23
211	480.0	0.018180083882242275	0.00017524449080389646	FES750
50	480.0	0.01985036547522795	8.146402138804526e-05	C3C23
210	482.0	0.02035924506306332	0.00017435343457332858	FES750
49	482.0	0.02177377866187044	8.581127815060325e-05	C3C23
48	484.0	0.02529814358981972	9.753712447827476e-05	C3C23
209	484.0	0.025655949486160592	0.00025147377475091994	FES750
208	486.0	0.02857093585488687	0.0002551238465342757	FES750
47	486.0	0.028893428814320242	0.00010715240130683108	C3C23
207	488.0	0.03254475410143975	0.00030047276191299784	FES750
46	488.0	0.03318443329341985	0.00012237556506874536	C3C23
206	490.0	0.03630454797598278	0.0003322123378821277	FES750
45	490.0	0.036163846425329736	0.00014145732070554217	C3C23
205	492.0	0.036464493119559654	0.0003557767263535488	FES750
44	492.0	0.03632380807790288	0.0001433352319962519	C3C23
204	494.0	0.033975170256643795	0.0003104396736557714	FES750
43	494.0	0.03434196666618599	0.0001351512688708568	C3C23
203	496.0	0.03039484976212014	0.00027041393748829793	FES750
42	496.0	0.030685799305567214	0.00011615696291476195	C3C23
41	498.0	0.026833385497414118	0.00011385297777874989	C3C23
202	498.0	0.026607194807262747	0.0002322422635328128	FES750
40	500.0	0.022265812033973927	9.083281342565775e-05	C3C23
201	500.0	0.022926673311501458	0.00019391356597379416	FES750
39	502.0	0.01769888585720894	9.561793473976068e-05	C3C23
200	502.0	0.0183105314609571	0.0001507818458550434	FES750
38	504.0	0.013929900125941244	0.00010389118226568534	C3C23
199	504.0	0.014184255923413408	0.00010810641941999594	FES750
37	506.0	0.011058763353096085	9.918241980162406e-05	C3C23
198	506.0	0.011425436005019027	9.728659591570189e-05	FES750
197	508.0	0.00935531504819278	9.286359370470161e-05	FES750
36	508.0	0.008764458620149825	0.00010841946169695417	C3C23
35	510.0	0.007189403871194247	0.00011582170027055639	C3C23
196	510.0	0.0077342319320601784	8.391325493505148e-05	FES750
195	512.0	0.006439220744743846	9.801319966742463e-05	FES750
34	512.0	0.0060527735812241305	0.00011713692399945113	C3C23
