	wl	Excit	Excit-Err	set
90	400.0	0.018138885310900868	0.000841032660565359	C3C23
89	402.0	0.017763185171895842	0.0008662712878989797	C3C23
88	404.0	0.016950726270134234	0.0007914251486780225	C3C23
87	406.0	0.017074041786017517	0.0008026510174948356	C3C23
86	408.0	0.016908481438375516	0.000770536914714345	C3C23
85	410.0	0.016792346595360812	0.0007242801614513837	C3C23
84	412.0	0.016308667498497156	0.0006676271604636251	C3C23
83	414.0	0.01587118438307572	0.0006740383005184472	C3C23
82	416.0	0.01523789882525553	0.0006939799801177495	C3C23
81	418.0	0.015142463080375536	0.0006282078547833401	C3C23
80	420.0	0.01396690076086156	0.0006351660134323253	C3C23
79	422.0	0.014255370150149252	0.0006026661919030184	C3C23
78	424.0	0.014372628079861937	0.0006535714098141527	C3C23
77	426.0	0.015176913760156908	0.0006107257212326228	C3C23
76	428.0	0.015897492967635284	0.0006201753091806943	C3C23
75	430.0	0.017502432858436657	0.000609151752510993	C3C23
74	432.0	0.018620321310266367	0.0005801907489753284	C3C23
73	434.0	0.01926955225736252	0.0005882412952103319	C3C23
72	436.0	0.02011374810831568	0.0005815158377670269	C3C23
71	438.0	0.02034133803343801	0.0005526435705488996	C3C23
70	440.0	0.02020240754327865	0.0005758334668470182	C3C23
69	442.0	0.01985027678556276	0.0005635582551995184	C3C23
68	444.0	0.019420011274493824	0.0005439137371196529	C3C23
67	446.0	0.018601032269262494	0.000528946438400032	C3C23
66	448.0	0.018069318221513513	0.0005480978240822976	C3C23
65	450.0	0.018482742222289322	0.00053507184589757	C3C23
64	452.0	0.019479089747738217	0.0005312200288127741	C3C23
63	454.0	0.021255546437596928	0.0005562906409015186	C3C23
62	456.0	0.024364556781367952	0.0006462005959059293	C3C23
61	458.0	0.026872864657645934	0.0006726212273541514	C3C23
60	460.0	0.030446315039671077	0.0007997300541274916	C3C23
59	462.0	0.03234340234450568	0.0008376285377959474	C3C23
58	464.0	0.03284693965017946	0.0008968012332208256	C3C23
57	466.0	0.032364470850887256	0.0008845882860620571	C3C23
56	468.0	0.03141552463960142	0.0008726716943871963	C3C23
55	470.0	0.029582939594505406	0.000774619206247112	C3C23
54	472.0	0.027407949647724226	0.0007442527964879082	C3C23
53	474.0	0.024678514550070838	0.0006052931963188593	C3C23
52	476.0	0.02248528056052313	0.0005975914038096521	C3C23
51	478.0	0.019948244068304904	0.0005892097742700375	C3C23
211	480.0	0.017980215597008766	0.0014434179935007966	FES750
50	480.0	0.018276691053617254	0.0004908796701677173	C3C23
210	482.0	0.017038186680663606	0.0011774587326859967	FES750
49	482.0	0.017279762416553036	0.0004848595154393127	C3C23
48	484.0	0.018026457121691625	0.0005013898893864393	C3C23
209	484.0	0.017812728634825064	0.0011771835505718121	FES750
208	486.0	0.01919422782953012	0.0011855118858805915	FES750
47	486.0	0.01987002209308177	0.0005677206905273332	C3C23
207	488.0	0.021614765662225456	0.0014455230119865701	FES750
46	488.0	0.02264497004588681	0.0006121481229706105	C3C23
206	490.0	0.024841692528147982	0.0017109223038318884	FES750
45	490.0	0.026972080974967918	0.0006864014440379804	C3C23
205	492.0	0.02748041218432041	0.0019102748619830412	FES750
44	492.0	0.03003820486972385	0.0007746461314146936	C3C23
204	494.0	0.029410670714101837	0.0020455929897271654	FES750
43	494.0	0.0327560562617964	0.0008679568148335974	C3C23
203	496.0	0.03031583393238248	0.002176942971075097	FES750
42	496.0	0.03432141486226532	0.0008941250044092144	C3C23
41	498.0	0.03474340018999127	0.0009146022305150354	C3C23
202	498.0	0.031192571702652362	0.002242983490249427	FES750
40	500.0	0.03323535558363442	0.0008522804374141149	C3C23
201	500.0	0.0302460650539426	0.0021849221413339378	FES750
39	502.0	0.029775618253981628	0.0007239556794789752	C3C23
200	502.0	0.027595551231917318	0.0019446007711123037	FES750
38	504.0	0.025431948481414432	0.0006985777564874131	C3C23
199	504.0	0.023690244237956095	0.001636975427969257	FES750
37	506.0	0.021716043992167353	0.0006514437043709843	C3C23
198	506.0	0.021187251877608105	0.00138996534362231	FES750
