	wl	Excit	Excit-Err	set
90	400.0	2050.7749297721944	20.80368419775986	C3C23
89	402.0	1866.5777367549053	20.343759095833708	C3C23
88	404.0	1699.4651432335618	20.439139490310847	C3C23
87	406.0	1541.1130772139436	18.333192758170718	C3C23
86	408.0	1405.315297784305	20.117765831598142	C3C23
85	410.0	1285.4751013010443	17.726719276303132	C3C23
84	412.0	1163.7255261929095	16.827334882616228	C3C23
83	414.0	1083.5138832906564	16.52788021304699	C3C23
82	416.0	1014.3099548334201	15.765852814194496	C3C23
81	418.0	954.2996435064044	16.826385733000663	C3C23
80	420.0	890.1139176327115	16.123418255814222	C3C23
79	422.0	885.2410772826009	16.445372828278707	C3C23
78	424.0	871.6331622213486	16.75862883571114	C3C23
77	426.0	859.8256130358604	17.241033759367365	C3C23
76	428.0	862.1843913703151	15.698261709335153	C3C23
75	430.0	866.2341186663521	15.465004354518104	C3C23
74	432.0	870.900203935223	15.777737795649612	C3C23
73	434.0	880.0181033134144	15.86281946684029	C3C23
72	436.0	900.0883045465952	14.855756289368342	C3C23
71	438.0	903.884974063074	14.281256686717835	C3C23
70	440.0	916.4051997375382	14.52007880743992	C3C23
69	442.0	944.8725045235857	14.262225649227267	C3C23
68	444.0	985.7074754431563	14.159056765224106	C3C23
67	446.0	1044.4605375504177	14.440334237725509	C3C23
66	448.0	1104.8363112276606	13.323117304437972	C3C23
65	450.0	1175.7969294698717	12.138354611873892	C3C23
64	452.0	1217.016155771111	13.279917518940424	C3C23
63	454.0	1282.3840301982345	13.595058596841326	C3C23
62	456.0	1335.7734070761314	13.072331350518501	C3C23
61	458.0	1386.2417478618886	13.247076185455015	C3C23
60	460.0	1432.7328994814184	12.85776196532154	C3C23
59	462.0	1440.9217942487242	12.056239617292764	C3C23
58	464.0	1448.2595022530516	12.901510187620744	C3C23
57	466.0	1429.4622203371111	11.684325381957718	C3C23
56	468.0	1416.7031615499466	10.592530157735393	C3C23
55	470.0	1401.1192354490115	11.27529874160626	C3C23
54	472.0	1405.1764099585341	12.036818150222135	C3C23
53	474.0	1436.2120553765205	13.180193308882016	C3C23
52	476.0	1514.1346827470295	12.986892028750178	C3C23
51	478.0	1627.432814827827	14.70271587781186	C3C23
50	480.0	1733.0985383705408	14.931255529344202	C3C23
212	480.0	1937.5396525662218	22.417047318744164	FES750
49	482.0	1798.4362456457463	14.02002967458462	C3C23
211	482.0	2007.9127259022766	17.076473508182705	FES750
210	484.0	2087.1192325259935	18.96068644865936	FES750
48	484.0	1884.5828961248374	15.662631317502711	C3C23
47	486.0	1952.8853341394265	14.80788854121454	C3C23
209	486.0	2047.889084614892	15.083930237512414	FES750
46	488.0	2036.569982652589	16.410572216552737	C3C23
208	488.0	2129.3317334962917	15.39107549863316	FES750
45	490.0	2058.2696333665085	16.34541213108164	C3C23
207	490.0	2139.2421430894074	14.710934959841856	FES750
44	492.0	2028.1919635410982	15.36925758342335	C3C23
206	492.0	2041.403668578341	15.164771179169547	FES750
43	494.0	1969.5366428365185	15.684691493942585	C3C23
205	494.0	1962.2296259337131	14.941675157441694	FES750
204	496.0	1941.4166029437217	14.07457191185492	FES750
42	496.0	1876.5625785327443	15.521518026970117	C3C23
41	498.0	1827.2960526850168	16.23810794965855	C3C23
203	498.0	1899.1511566735894	15.524622602546419	FES750
40	500.0	1743.059241917749	15.807136257889642	C3C23
202	500.0	1833.3700507221656	14.112244282313386	FES750
39	502.0	1694.684349895959	16.17233671677991	C3C23
201	502.0	1724.0201909567118	13.866165525752367	FES750
200	504.0	1686.478347455699	13.169632365962812	FES750
38	504.0	1634.0564153709643	15.962873561069063	C3C23
199	506.0	1696.22082674254	13.814083863511971	FES750
37	506.0	1624.7721789143898	15.703734416399653	C3C23
198	508.0	1643.0199852125088	12.958278052053467	FES750
36	508.0	1604.5480911600496	16.512517087766284	C3C23
197	510.0	1632.6358036475378	12.892963424240207	FES750
35	510.0	1649.6768399578666	15.772224404383868	C3C23
196	512.0	1722.3458553726757	13.022632870252044	FES750
34	512.0	1705.2820116790724	16.174112075743828	C3C23
33	514.0	1768.7088322300376	15.658076996519192	C3C23
195	514.0	1841.397389151465	13.51847593771517	FES750
194	516.0	1916.232823235468	13.779355668997118	FES750
32	516.0	1880.5762845918962	16.567056163529465	C3C23
193	518.0	1976.58214727811	14.532606064118513	FES750
31	518.0	1969.828422850399	16.611742991433786	C3C23
192	520.0	1990.9045895696245	14.439951816639926	FES750
30	520.0	2074.487235349312	18.21744261924415	C3C23
191	522.0	2057.445592690493	15.510348529627594	FES750
29	522.0	2116.3554968566764	17.924937185059825	C3C23
190	524.0	2132.478677522981	15.18713039996411	FES750
28	524.0	2140.31429088621	17.67909347335456	C3C23
27	526.0	2084.29990891462	18.84401069789423	C3C23
189	526.0	2126.916128851615	16.0837176925611	FES750
26	528.0	2008.4228902601917	18.576366719890046	C3C23
188	528.0	2001.6761859832122	14.843238414502427	FES750
25	530.0	1879.7785238508136	18.074549525585866	C3C23
187	530.0	1834.1045003534066	13.853560646479268	FES750
24	532.0	1751.4885181568236	17.159355487768643	C3C23
186	532.0	1668.5168713118635	13.48040587031332	FES750
185	534.0	1544.2631387212598	12.981214797049379	FES750
23	534.0	1586.323790262405	17.819058926433655	C3C23
184	536.0	1399.6425678320904	13.220385391885976	FES750
22	536.0	1413.221899453556	17.777449851803784	C3C23
183	538.0	1240.6463962105838	12.239441910469457	FES750
21	538.0	1280.9865715036995	18.283527350599787	C3C23
182	540.0	1092.5277744413493	12.343176694186276	FES750
20	540.0	1168.3494792009424	19.85875812998098	C3C23
19	542.0	1063.5674775915313	20.977743631868105	C3C23
181	542.0	990.0510434732762	12.87262452542775	FES750
180	544.0	893.3781153379201	13.949085746842233	FES750
18	544.0	972.9998110692347	20.00543821306388	C3C23
17	546.0	926.427416627933	20.965840497827568	C3C23
179	546.0	863.9128583069281	12.82171149929849	FES750
16	548.0	883.5447220643533	22.167425610737716	C3C23
178	548.0	841.3254390642795	13.084978696772481	FES750
177	550.0	812.152218284425	13.010191423981233	FES750
15	550.0	870.6312081889079	23.394883123073104	C3C23
14	552.0	862.0505112278798	23.03020530224562	C3C23
176	552.0	780.394336312624	12.099080397374273	FES750
175	554.0	768.8922660209705	12.591034947869655	FES750
13	554.0	860.2398246852727	22.890042461968587	C3C23
174	556.0	774.0885796993504	13.033716386335936	FES750
12	556.0	862.0567137095259	22.98929354791115	C3C23
173	558.0	816.9584829034732	13.126015607566183	FES750
11	558.0	906.2158539878842	23.063020577990958	C3C23
10	560.0	935.2490449175364	23.53240716615412	C3C23
172	560.0	852.8675153107745	13.11819020582227	FES750
9	562.0	978.9802658490197	24.37824116723194	C3C23
171	562.0	887.5018904052793	11.86231785526521	FES750
8	564.0	1037.8165307101824	25.426666821778827	C3C23
170	564.0	927.1915133634208	12.500209645003213	FES750
7	566.0	1124.381031250965	23.958139751627655	C3C23
169	566.0	998.0773241373189	13.035865309040524	FES750
6	568.0	1197.3715559379966	25.479135314752387	C3C23
168	568.0	1068.0144033961813	13.286679161118624	FES750
5	570.0	1321.7182455386449	26.70364688101693	C3C23
167	570.0	1183.5057651735547	14.26929894152976	FES750
166	572.0	1324.7355843059618	13.39970069912049	FES750
4	572.0	1480.611680113121	26.773662019802845	C3C23
165	574.0	1505.3349336844308	14.021031962989314	FES750
3	574.0	1661.7751094609478	24.112456774688322	C3C23
2	576.0	1904.2970780002743	25.19833318085758	C3C23
164	576.0	1661.3704884127053	15.169937934942656	FES750
1	578.0	2109.6490510294843	26.698453625017788	C3C23
163	578.0	1856.9453284241622	15.357129975825696	FES750
162	580.0	2067.8086997642554	15.97326639042561	FES750
0	580.0	2341.7532159721713	26.449585441341345	C3C23
161	582.0	2315.10411460462	16.94252442948391	FES750
160	584.0	2538.6205360512513	17.95671112997623	FES750
159	586.0	2713.112379645809	19.359091919464646	FES750
158	588.0	2833.466841924759	18.752446929259012	FES750
157	590.0	2836.812279505969	20.034961121267187	FES750
155	592.0	2697.598454404832	16.238500544237965	FES750
156	592.0	2782.0039224416505	19.194301692455248	FES750
154	594.0	2609.171191859948	16.763583971351494	FES750
153	596.0	2422.1811105278225	16.207802979567486	FES750
152	598.0	2194.3606037350573	14.461854483151503	FES750
151	600.0	1977.1179503519013	15.374764447075629	FES750
150	602.0	1748.9705177891285	15.294360555114764	FES750
149	604.0	1462.9892111147958	15.447903909838809	FES750
148	606.0	1228.6072322781174	15.893116389394718	FES750
147	608.0	1049.8950749928665	15.8983085915452	FES750
146	610.0	865.8223168087051	15.668003731132876	FES750
145	612.0	764.785953654746	17.577162813378894	FES750
144	614.0	650.9854568044605	17.07763060364456	FES750
143	616.0	547.2625710552114	16.00427057932246	FES750
142	618.0	478.2501026470747	17.475072199037545	FES750
141	620.0	405.7269159258815	15.72188496746464	FES750
140	622.0	364.40525225115715	16.407238055909904	FES750
